('2021-03-19 16:14:59', 'MI 10 ', 'CN210902776', 'N8K5T16C08008638', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P30', 'CN210902777', '8KE0219528010410', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P40 Pro', 'CN210902778', 'UQG5T20B19009510', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Mate 30 Pro', 'CN210902779', '9YS0219C04031360', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'Remi K30 Ultra', 'CN210902780', 'cqzd5hkju89tx89d', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI nova 6', 'CN210902781', 'ADFDU19C14011190', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P30 Pro', 'CN210902782', 'MQS0219809001090', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR V30', 'CN210902783', '8URDU19C02000722', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 10 Pro', 'CN210902784', '4861a728', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P30 Pro', 'CN210902785', 'MQS0219718016350', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 10 Ultra', 'CN210902786', 'f95cdb36', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Mate 40 Pro', 'CN210902787', '8KE0219528010410', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI nova 3', 'CN210902788', 'FJH5T18821003708', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR 20', 'CN210902789', 'STSDU19527033642', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'OPPO Reno Ace', 'CN210902790', '5d032ab0', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR V30', 'CN210902791', '8UR4C19C14004065', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 10', 'CN210902792', '9e712994', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MIX 3', 'CN210902793', '95565b61', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI nova 5z', 'CN210902794', 'TVFUT19A18006714', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'OPPO R15', 'CN210902795', '144c8a7', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 6', 'CN210902796', 'd95ad0b', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Mate 9', 'CN210902797', 'N8K5T16C08008638', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 8 SE', 'CN210902798', '2128c8f9', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Davinci', 'CN210902799', 'WKXVB20622017338', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'vivo Z5x', 'CN210902800', '1cc7aad6', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 8 UD', 'CN210902801', 'dd99c4cb', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI nova 5 Pro', 'CN210902802', '6HJDU19702106098', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', '', 'CN210902803', 'XPL0220303024064', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'MI 9', 'CN210902804', '60078d69', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR V20', 'CN210902805', '5EN0219124013869', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P40', 'CN210902806', 'CTN5T20421021114', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR 9X', 'CN210902807', 'GDB6R19A30008749', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'Redmi K30 Pro', 'CN210902808', 'c4f57321', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'Redmi K20 Pro', 'CN210902809', 'c62c0791', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI nova 7', 'CN210902810', 'E6EDU20521057565', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI HONOR 20', 'CN210902811', 'CUY0219C25002987', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'vivo IQOONeo3', 'CN210902812', 'a20cb8b6', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Mate 20', 'CN210902813', 'HJS5T19828004375', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI P20', 'CN210902814', 'CLB0218601000295', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Honor 10', 'CN210902815', '9YEDU18519011104', '上海', 0, 2, '质效保障部', 2)
('2021-03-19 16:14:59', 'HUAWEI Mate 30', 'CN210902816', '88Y5T19921019096', '上海', 0, 2, '质效保障部', 2)
