name,cover,price,author,publisher,isbn,publish_date,pages
格列佛游记,https://img.dushu.com/2020/12/30/11080146915710.jpg_200.jpg,¥25.80,（英）乔纳森·斯威夫特 著,,9787100189736,2020-10-01,272
基于新课标的高中生物学教学与评价设计,https://img.dushu.com/2020/12/30/1113462903334.jpg_200.jpg,¥98.00,胡兴昌,,9787542873613,2020-10-01,464
大夏书系 语文课就该这样教：语文名师精彩教学片段品析（小学卷）,https://img.dushu.com/2020/12/30/11134746931581.jpg_200.jpg,¥55.00,李华平，刘敏,,9787576008180,2020-10-01,296
大夏书系 语文课就该这样教：语文名师精彩教学片段品析（中学卷）,https://img.dushu.com/2020/12/30/11134964438240.jpg_200.jpg,¥55.00,李华平，刘敏,,9787576008173,2020-10-01,304
大夏书系 教育变革：利用脑科学改善教学与校园文化,https://img.dushu.com/2020/12/30/11135083050125.jpg_200.jpg,¥35.00,奥拉西奥·桑切斯,,9787576007640,2020-10-01,256
高中历史怎样教（上）,https://img.dushu.com/2020/12/30/11135197758853.jpg_200.jpg,¥78.00,罗明，周靖,,9787208165878,2020-10-01,324
让每一位教师都精彩,https://img.dushu.com/2020/12/30/11135390768999.jpg_200.jpg,¥50.00,银艳琳，陆晖，潘丽瑜,,9787519122485,2020-09-01,
幼儿园体育活动教学案例,https://img.dushu.com/2020/12/30/11135482736613.jpg_200.jpg,¥39.80,庄弼，杨宁,,9787536168633,2020-09-01,
让每一所学校都优质,https://img.dushu.com/2020/12/30/11135591737699.jpg_200.jpg,¥50.00,刘治刚，何庄，龙佐民,,9787519122843,2020-09-01,
才华内蕴,https://img.dushu.com/2020/12/30/11135694251992.jpg_200.jpg,¥76.00,杨洪勋,,9787567024960,2020-08-01,
未完成的夏天,https://img.dushu.com/2020/12/30/11135939267041.jpg_200.jpg,¥45.00,（法）莫妮卡·萨波洛,,9787540497712,2020-12-01,
诺贝尔文学奖作家作品：阿尔谢尼耶夫的一生,https://img.dushu.com/2020/12/30/1114089046970.jpg_200.jpg,¥49.80,（俄罗斯）伊凡·亚历克塞维奇·蒲宁,,9787200144697,2020-10-01,
德伯家的苔丝,https://img.dushu.com/2020/12/30/11141659595309.jpg_200.jpg,¥35.00,托马斯·哈代,,9787570214761,2020-08-01,
行政职业能力测验全真模拟试卷及答案详解,https://img.dushu.com/2020/12/30/11142036976563.jpg_200.jpg,¥42.00,李永新,,9787550445901,2020-11-01,240
旅情热带夜：1021天穿越世界之旅,https://img.dushu.com/2020/12/30/11143745858152.jpg_200.jpg,¥148.00,（日）竹泽宇流麻,,9787513340939,2020-11-01,460
中级日语模拟题十套,https://img.dushu.com/2020/12/30/11143932229261.jpg_200.jpg,¥36.00,丁秀琴,,9787561957691,2020-10-01,281
软物质的功能智能特性及其应用,https://img.dushu.com/2020/12/30/11144053177026.jpg_200.jpg,¥138.00,"温维佳,巫金波",,9787508858029,2020-10-01,205
青花装饰技法（第2版）,https://img.dushu.com/2020/12/30/11145164575188.jpg_200.jpg,¥68.00,饶媛媛,,9787568288385,2020-08-01,100
外贸英语函电（第4版）,https://img.dushu.com/2020/12/30/1115013813989.jpg_200.jpg,¥68.00,易露霞，刘洁，尤彧聪,,9787302562535,2020-10-01,371
综合英语 3,https://img.dushu.com/2020/12/30/11150252012717.jpg_200.jpg,¥65.00,罗良功，王卓，王金娥,,9787302563655,2020-09-01,260
新编大学英语自主学习模式,https://img.dushu.com/2020/12/30/11150352155249.jpg_200.jpg,¥32.00,殷品,,9787512142442,2020-08-01,
中国新石器时代考古讲义,https://img.dushu.com/2020/12/30/11150452997780.jpg_200.jpg,¥68.00,袁靖,,9787309152975,2020-10-01,
英雄壮歌：龙华烈士纪念馆馆藏精品文物集萃,https://img.dushu.com/2020/12/30/11150557195710.jpg_200.jpg,¥298.00,龙华烈士纪念馆,,9787572003806,2020-10-01,112
郑州地区旧石器时代考古新发现论文集,https://img.dushu.com/2020/12/30/1115067637595.jpg_200.jpg,¥238.00,"郑州市文物考古研究院,北京大学考古文博学院",,9787030662125,2020-09-01,516
画意千金：林纾书画研究,https://img.dushu.com/2020/12/30/11151371849916.jpg_200.jpg,¥158.00,龚任界,,9787100182454,2020-10-01,272
伊娃 泽特瓦尔：华东师范大学美术学院大师工作坊,https://img.dushu.com/2020/12/30/11151471392448.jpg_200.jpg,¥68.00,张晓凌，张方白,,9787576006391,2020-09-01,76
不朽勋业染丹青：川陕革命根据地红军宣传美术作品集,https://img.dushu.com/2020/12/30/11151573670860.jpg_200.jpg,¥68.00,李芝兰,,9787569038699,2020-09-01,
直播销售：商业模式+平台运营+吸粉引流+带货技巧,https://img.dushu.com/2020/12/30/11151810746872.jpg_200.jpg,¥59.00,陆高立,,9787113272142,2020-11-01,
农机市场营销学徒岗位手册,https://img.dushu.com/2020/12/30/11153081519629.jpg_200.jpg,¥56.00,田多林，张双侠,,9787565523526,2020-09-01,
沧元图漫画版3,https://img.dushu.com/2020/12/30/11155648789895.jpg_200.jpg,¥29.80,我吃西红柿,,9787535692801,2020-11-01,
不讲道理,https://img.dushu.com/2020/12/30/11155753051945.jpg_200.jpg,¥68.00,"黄瓜,桂圆",,9787521723366,2020-11-01,432
遗失在西方的中国史：苏州园林,https://img.dushu.com/2020/12/29/095502979191648351.jpg_200.jpg,¥88.00,邱丽媛 著,,9787500875758,2021-01-01,176
怪奇人物博物馆,https://img.dushu.com/2020/12/30/09252185949000.jpg_200.jpg,¥30.00,涩泽龙彦 著,,9787510891663,2020-09-01,
无须应答,https://img.dushu.com/2020/12/30/0925278614188.jpg_200.jpg,¥42.00,臧北,,9787559445483,2019-12-01,
爱尔兰戏剧集,https://img.dushu.com/2020/12/30/09460668614901.jpg_200.jpg,¥56.00,布莱恩·费利尔 玛丽娜·卡尔 恩达·沃尔什,,9787511381187,2020-09-01,
中关村的故事,https://img.dushu.com/2020/12/30/09461349143267.jpg_200.jpg,¥118.00,齐忠,,9787512679719,2020-09-01,
汤戏梦语,https://img.dushu.com/2020/12/30/09461731527678.jpg_200.jpg,¥68.00,彭鑫鉴 著,,9787550036062,2020-06-01,
闽文学研究选粹,https://img.dushu.com/2020/12/30/1037525265906.jpg_200.jpg,¥78.00,赵麟斌 著，赵麟斌主编 范丽琴副主编 编,,9787547616079,2020-10-01,311
沉默的词,https://img.dushu.com/2020/12/30/10375439822399.jpg_200.jpg,¥99.00,宝贵敏 著,,9787105157310,2019-09-01,164
钱稻孙译作选（故译新编）,https://img.dushu.com/2020/12/30/11075063233580.jpg_200.jpg,¥58.00,钱稻孙 著，蔡春华 编,,9787100184342,2020-07-01,
